"subj_id","trial","pA","xA1","xA2","pB","xB1","xB2","choice"
3,87,0.33,-23,-96,0.29,-40,-82,1
3,88,0.73,-73,-54,0.17,-42,-70,1
3,89,0.03,-75,-27,0.69,-41,-48,0
3,90,0.48,-59,-2,0.14,-77,-9,1
3,91,0.58,-50,-54,0.14,-73,-40,1
3,92,0.13,-29,-76,0.55,-100,-28,1
3,93,0.19,-68,-46,0.61,-9,-90,1
3,94,0.84,-57,-90,0.25,-63,-30,1
3,95,0.97,-58,-65,0.18,-52,-74,0
3,96,0.99,-96,-2,0.47,-90,-66,1
3,97,0.59,-85,-7,0.52,-9,-73,1
3,98,0.56,-58,-80,0.86,-58,-97,1
3,99,0.65,-72,-8,0.25,-90,-39,0
3,100,0.59,-41,-57,0.42,-51,-30,1
3,101,0.63,-96,-38,0.17,-12,-69,1
3,102,0.04,-98,-25,0.4,-78,-22,0
3,103,0.5,-21,-77,0.39,-77,-75,0
3,104,0.79,-67,-37,0.46,0,-97,1
3,105,0.4,-60,-82,0.47,-31,-90,1
3,106,0.21,-60,-16,0.45,-6,-51,0
3,107,0.48,-15,-91,0.28,-48,-74,0
3,108,0.04,-15,-60,0.88,-34,-77,0
3,109,0.99,-24,-13,0.44,-15,-62,0
3,110,0.39,-35,-72,0.76,-57,-28,0
3,111,0.76,-33,-53,0.52,-18,-60,0
3,112,0.43,-55,-53,0.08,-77,-51,1
3,113,0.75,-100,-84,0.95,-85,-29,1
3,114,0.53,-93,-26,0.8,-52,-93,0
3,115,0.59,-55,-77,0.47,-30,-61,1
3,116,0.66,-58,-68,0.68,-67,-49,1
3,117,0.86,-29,-30,0.26,-17,-43,0
3,118,0.32,-83,-19,0.15,-15,-52,1
3,119,0.56,-9,-56,0.64,-15,-80,0
3,120,0.49,-66,-92,0.78,-97,-34,0
3,121,0.85,-55,27,0.02,73,-88,0
3,122,0.18,-19,73,0.94,58,-54,0
3,123,1,-48,0,0.9,-71,87,0
3,124,0.43,-47,63,0.02,-69,14,1
3,125,0.48,58,-5,0.4,-40,96,0
3,126,0.93,-28,79,0.63,-81,89,0
3,127,0.43,-91,63,0.27,-83,24,0
3,128,0.73,-38,40,0.54,-30,7,0
3,129,0.94,-66,92,0.03,31,-49,1
3,130,0.24,-88,79,0.01,-100,32,1
3,131,0.86,-26,82,0.6,-39,31,1
3,132,0.06,-82,54,0.91,38,-73,0
3,133,0.05,56,-56,0.47,29,-80,1
3,134,0.37,-8,52,0.87,23,-39,0
3,135,0.07,-7,25,0.87,48,-10,1
3,136,0.81,-42,16,0.47,27,-60,0
